title,company,location,posted_ago,source_url
"Senior Software Engineer - Case Execution",Pivotal Health,New York, NY,2 weeks ago,https://www.linkedin.com/jobs/view/senior-software-engineer-case-execution-at-pivotal-health-4448537281
"Senior Software Engineer, Backend",PathAI,Boston, MA,1 day ago,https://www.linkedin.com/jobs/view/senior-software-engineer-backend-at-pathai-4464241033
"Senior Backend Software Engineer",Analog Devices,Wilmington, MA,1 week ago,https://www.linkedin.com/jobs/view/senior-backend-software-engineer-at-analog-devices-4434649554
"Senior Python Engineer (Backend)",Alaffia Health,New York, NY,unknown,https://www.linkedin.com/jobs/view/senior-python-engineer-backend-at-alaffia-health-4459355664
